"Player","Position","Minutes","PER","WS/48","Salary","PER/Salary"
"DeJuan Blair","PF","395","20.2","0.171","0.9479","21.31011"
"Kyle O'Quinn","C","140","16.8","0.140","0.7889","21.29623"
"Jeff Adrien","PF","176","17.7","0.209","0.9161","19.32106"
"Mike Scott","PF","256","14.6","0.070","0.7889","18.50744"
"Omri Casspi","PF","391","15.9","0.136","0.9479","16.77380"
"Kenneth Faried","PF","431","20.8","0.187","1.3676","15.20868"
"Jared Sullinger","PF","461","18.6","0.126","1.3657","13.61919"
"Miles Plumlee","C","528","15.2","0.082","1.1215","13.55303"
"Perry Jones","PF","105","14.6","0.141","1.0825","13.48705"
"Mason Plumlee","PF","266","17.4","0.150","1.2986","13.39863"
"Andray Blatche","PF","409","18.1","0.063","1.3756","13.15786"
"Chris Andersen","C","307","17.2","0.189","1.3995","12.29004"
"Terrence Jones","PF","365","18.1","0.160","1.5518","11.66357"
"Nikola Vucevic","C","565","19.7","0.140","1.7935","10.98399"
"Andrew Nicholson","PF","370","15.8","0.119","1.4820","10.66127"
"Kenyon Martin","PF","269","14.8","0.124","1.3995","10.57515"
"John Henson","PF","424","19.1","0.120","1.9054","10.02435"
"Andre Drummond","C","584","23.3","0.209","2.4624","9.46231"
"Markieff Morris","PF","442","19.4","0.155","2.0918","9.27413"
"Steven Adams","C","274","14.1","0.158","2.0909","6.74357"
"Jason Smith","PF","472","14.1","0.098","2.5000","5.64000"
"Josh McRoberts","PF","506","14.9","0.140","2.6520","5.61840"
"Ed Davis","PF","225","17.2","0.144","3.1539","5.45363"
"Jordan Hill","PF","396","19.2","0.162","3.5636","5.38781"
"Anthony Davis","C","537","28.4","0.250","5.3758","5.28297"
"DeMarcus Cousins","C","459","25.3","0.146","4.9170","5.14544"
"Kosta Koufos","C","363","14.9","0.088","3.0000","4.96667"
"Tyler Hansbrough","PF","362","15.1","0.159","3.1830","4.74395"
"Samuel Dalembert","C","446","17.1","0.161","3.7007","4.62069"
"Greg Monroe","PF","613","18.0","0.122","4.0865","4.40480"
"Timofey Mozgov","C","321","19.0","0.159","4.4000","4.31818"
"Boris Diaw","PF","390","17.4","0.172","4.7025","3.70016"
"Spencer Hawes","C","566","19.9","0.149","6.5000","3.06154"
"Derrick Favors","PF","617","17.9","0.102","6.0082","2.97926"
"Ryan Anderson","PF","275","24.5","0.231","8.3085","2.94879"
"J.J. Hickson","PF","421","14.4","0.078","5.1500","2.79612"
"Robin Lopez","C","541","14.4","0.127","5.9043","2.43892"
"Channing Frye","PF","483","15.4","0.139","6.4000","2.40625"
"Brandon Bass","PF","583","15.1","0.118","6.4500","2.34109"
"Marcin Gortat","C","614","17.1","0.134","7.7273","2.21294"
"Amir Johnson","PF","477","14.1","0.125","6.5000","2.16923"
"Taj Gibson","PF","415","16.3","0.125","7.5500","2.15894"
"Marvin Williams","PF","338","15.6","0.114","7.5000","2.08000"
"Paul Millsap","PF","573","19.1","0.129","9.5000","2.01053"
"Thaddeus Young","PF","531","17.0","0.090","8.8500","1.92090"
"Tiago Splitter","C","386","19.2","0.227","10.0000","1.92000"
"Tim Duncan","C","446","18.8","0.144","10.3614","1.81442"
"Brook Lopez","C","318","26.3","0.194","14.6939","1.78986"
"Anderson Varejao","C","502","15.9","0.129","9.0364","1.75956"
"Kevin Love","PF","681","25.6","0.237","14.6939","1.74222"
"Al Horford","C","622","20.8","0.125","12.0000","1.73333"
"Al Jefferson","PF","309","22.1","0.177","13.5000","1.63704"
"LeBron James","PF","640","29.8","0.295","19.0675","1.56287"
"Serge Ibaka","PF","544","19.0","0.171","12.3500","1.53846"
"DeAndre Jordan","C","638","16.8","0.152","10.9866","1.52914"
"Andrea Bargnani","C","503","17.8","0.110","11.8625","1.50053"
"Nikola Pekovic","C","631","17.7","0.152","12.1000","1.46281"
"David West","PF","542","17.3","0.184","12.0000","1.44167"
"Tyson Chandler","C","107","20.1","0.154","14.1005","1.42548"
"LaMarcus Aldridge","PF","669","20.9","0.133","14.8780","1.40476"
"Joakim Noah","C","504","15.4","0.141","11.1000","1.38739"
"Marc Gasol","C","447","20.4","0.161","14.8605","1.37276"
"Nene Hilario","PF","497","17.3","0.134","13.0000","1.33077"
"Roy Hibbert","C","552","18.2","0.177","14.2838","1.27417"
"Kris Humphries","PF","202","15.2","0.117","12.0000","1.26667"
"Andrew Bynum","C","231","15.5","0.043","12.2500","1.26531"
"Blake Griffin","PF","664","20.7","0.152","16.4415","1.25901"
"David Lee","PF","632","17.4","0.136","13.8780","1.25378"
"Carlos Boozer","PF","479","17.0","0.116","15.3000","1.11111"
"Andrew Bogut","C","503","14.9","0.138","14.0000","1.06429"
"Carmelo Anthony","PF","647","21.5","0.111","21.3890","1.00519"
"Dirk Nowitzki","PF","617","22.8","0.196","22.7214","1.00346"
"Dwight Howard","C","629","20.0","0.156","20.5132","0.97498"
"Chris Bosh","C","486","18.5","0.174","19.0675","0.97024"
"Zach Randolph","PF","490","17.1","0.093","17.8000","0.96067"
"Pau Gasol","C","551","14.8","0.032","19.2859","0.76740"
